1404, pdata: 4 (0,0,4) 
68: [+33.817600,+46.123615,+0.500000] , 1. [-0.000000,-0.320000,+0.000000] [-0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
69: [+33.219772,+46.570518,+0.500000] , 1. [+0.000000,-0.320000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
70: [+33.561031,+46.466202,+0.500000] , 1. [-0.000000,-0.320000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
71: [+33.869625,+46.533772,+0.500000] , 1. [-0.000000,-0.320000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
72: [+34.177883,+45.836304,+0.500000] , 1. [-0.000000,-0.320000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
73: [+34.547924,+45.814682,+0.500000] , 1. [-0.000000,-0.320000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
74: [+34.869041,+45.818504,+0.500000] , 1. [+0.000000,-0.320000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
75: [+34.150482,+46.124493,+0.500000] , 1. [-0.000000,-0.320000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
76: [+34.486000,+46.114052,+0.500000] , 1. [-0.000000,-0.320000,+0.000000] [+0.000000,-0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
77: [+34.816849,+46.137833,+0.500000] , 1. [-0.000000,-0.320000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
78: [+34.230778,+46.528034,+0.500000] , 1. [-0.000000,-0.320000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
