1404, pdata: 4 (0,0,4) 
87: [+35.117565,+46.751362,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
88: [+35.461723,+46.705311,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
89: [+35.823490,+46.721127,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
90: [+36.148548,+46.075367,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
91: [+36.494766,+46.118225,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
92: [+36.855301,+46.129921,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
93: [+36.193554,+46.434818,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
94: [+36.562984,+46.351944,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
95: [+36.771172,+46.381554,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
96: [+36.223289,+46.784821,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
97: [+36.454117,+46.770275,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
98: [+36.863091,+46.682491,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
99: [+37.204296,+46.090801,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
100: [+37.534031,+46.105873,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
101: [+37.882481,+46.075840,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
102: [+37.227539,+46.437687,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
103: [+37.459435,+46.400177,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
104: [+37.791687,+46.378490,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
105: [+37.188446,+46.749935,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
106: [+37.436653,+46.786907,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
107: [+37.839451,+46.677361,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
108: [+26.134302,+47.034924,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
109: [+26.436390,+47.102879,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
110: [+26.830048,+47.048336,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
111: [+26.187742,+47.396690,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
112: [+26.506567,+47.440109,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
113: [+26.780262,+47.367451,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
114: [+26.197567,+47.694477,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
115: [+26.462009,+47.751278,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
116: [+26.818893,+47.671593,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
117: [+27.233263,+47.084179,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
118: [+27.561996,+47.045025,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
119: [+27.868622,+47.007713,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
120: [+27.157400,+47.397224,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
121: [+27.555435,+47.403549,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
122: [+27.807611,+47.449894,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
123: [+27.169657,+47.720638,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
124: [+27.541897,+47.759514,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
125: [+27.836441,+47.729240,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
126: [+28.222355,+47.011990,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
127: [+28.493765,+47.047989,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [-0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
128: [+28.787922,+47.097725,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
129: [+28.211403,+47.455410,+0.500000] , 1. [+0.000000,-0.192000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
130: [+28.510069,+47.370865,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
131: [+28.872284,+47.343704,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
132: [+28.202276,+47.768902,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
133: [+28.461607,+47.698429,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
134: [+28.895288,+47.687439,+0.500000] , 1. [-0.000000,-0.192000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
